# ra,dec,radius
152.8181274669201,-17.691006662063717,2.0
150.3833525981921,-33.04326108927795,2.0
352.25183229093045,-29.779436002303886,2.0
174.85074360973368,-23.627453015369365,2.0
149.6811639194094,-29.463706851408393,2.0
319.5178198321214,-34.22870112817704,2.0
205.91016519674622,-8.234371065828142,2.0
156.19240356520726,-18.640259406430125,2.0
12.50586461795442,0.03449928104468024,2.0
346.99773847816675,1.352716401874542,2.0
312.82152469985664,0.035767044440049335,2.0
74.70038090857064,-31.543115251563922,2.0
25.07109927100977,-0.8341590148622415,2.0
314.2175054095468,-30.244385711535386,2.0
171.8227691471969,-23.320138157254473,2.0
157.16719805072339,-29.986824557513728,2.0
160.28639352699972,-42.19955636290219,2.0
155.70206412488218,-45.895482221220476,2.0
300.06977974538904,-0.8669012824141373,2.0
344.672536896105,0.7010042726315829,2.0
25.010477670405486,-30.44914382127544,2.0
316.7000786165858,-40.334348615950496,2.0
314.7498540986363,-38.776753269410825,2.0
157.1051902305326,-34.22410184201701,2.0
160.3236295406027,-26.586227038894226,2.0
155.1756706372574,-33.83399007627319,2.0
329.3658517917474,-3.2052445223161725,2.0
75.64319034577782,-31.904303662693387,2.0
345.4132209059663,-55.78488426174897,2.0
16.722666519750696,-32.72831437441763,2.0
180.25209019782352,-20.97487286420618,2.0
201.0769997123189,-11.792860936759242,2.0
314.9006973983312,-0.17597246223942978,2.0
36.27404722982129,-33.884716008801554,2.0
316.47319569385303,-37.14456181858315,2.0
170.17058393998343,-18.798912204485912,2.0
175.65814831106258,-20.45605247119997,2.0
171.03898275409756,-18.540109638372517,2.0
169.1815896684582,-17.194855188675877,2.0
180.1873094362587,-18.995686347147792,2.0
207.30610669293137,-4.953601710744896,2.0
207.22978642454552,-9.488561599696407,2.0
205.8792268775973,-15.316371740752832,2.0
210.35058461738436,-6.719768099416888,2.0
208.69386729420506,-10.684057890909807,2.0
163.1105632902252,-38.334461192302435,2.0
154.92841660416346,-26.52548431061678,2.0
154.40485551535713,-40.10012499156397,2.0
161.41558087136073,-38.47206514166183,2.0
152.52806643607835,-45.10099041837315,2.0
338.4497536626169,-2.0470856835169693,2.0
51.22630535895587,-37.950023693657016,2.0
316.68060366549855,-58.03112921730447,2.0
310.98668825749763,0.3157746549078051,2.0
330.8130711615091,1.2891533854468642,2.0
37.47787637713116,-30.599559376424764,2.0
318.7285608645685,-39.174859270008156,2.0
320.7554266658111,-32.02042962762258,2.0
317.28810107730783,-25.741374113688334,2.0
189.02345125130523,-15.279978608715632,2.0
201.87886931948427,-14.366017963383815,2.0
163.0398557136988,-41.04693359229285,2.0
152.56072425296236,-36.68596460321509,2.0
155.15874095201355,-23.75442564314773,2.0
159.16834142834907,-30.851832037333097,2.0
158.43457784673643,-24.148744122307857,2.0
152.93903649395236,-43.139273284710306,2.0
164.16292389542795,-43.05794889072446,2.0
153.95463111288618,-42.65280626052775,2.0
44.86076224366632,-33.46027156410539,2.0
340.6693028324014,-40.724230325800185,2.0
37.99545513154192,-42.03245414235094,2.0
41.02787451513917,0.8469624920091511,2.0
305.6755357560082,-0.6705609994373294,2.0
314.7087079949556,1.047261714518239,2.0
53.62265212610798,0.10308047306115554,2.0
3.3638162881857334,0.875614770300196,2.0
1.791687271704504,0.8914261244525057,2.0
26.913386215352126,-28.883097657544933,2.0
34.866661573073486,-30.76277662129932,2.0
318.10247638771125,-41.48147711626288,2.0
318.8549187622007,-33.858906126394245,2.0
316.4335000160541,-22.83059529555446,2.0
318.82565416628546,-35.84271226182904,2.0
180.38874609809426,-17.669584927614494,2.0
152.2965908227498,-7.464725163474657,2.0
165.25553314417823,-22.452493339911037,2.0
168.1632221426315,-19.54130779811753,2.0
182.9464319629031,-2.3945391942684617,2.0
195.68164279128675,-13.931326571318333,2.0
202.51911609814462,-14.087230888069655,2.0
200.93371811191045,-12.053272612599367,2.0
204.4035163812507,-9.367173742851037,2.0
200.08450573920112,-13.476817809749736,2.0
202.53709964909785,-7.496103366777636,2.0
157.89103396413373,-41.19779496810856,2.0
156.90163714717752,-40.34581382019134,2.0
155.32350561166393,-25.44855783056095,2.0
161.33292346183788,-42.5921329690106,2.0
154.01514860085484,-31.792573806787527,2.0
153.80512055889707,-31.07637356078436,2.0
149.31522884385623,-47.65219269579898,2.0
151.6699323114353,-29.9674390940631,2.0
151.63217916768284,-47.85280312646909,2.0
153.15080873828936,-43.263968595644826,2.0
329.8270132703701,-1.9145785283687864,2.0
47.87885012806618,-31.880860044582445,2.0
67.91485862835738,-30.253920172505676,2.0
3.79253884171062,-0.8465181163652914,2.0
46.20769411378219,-0.13705075686612653,2.0
329.8417816331468,-0.3786506103901121,2.0
37.39285969594509,-0.10898277434681816,2.0
20.609179383725586,-0.12488451775286076,2.0
301.7862341400093,-0.6393450910005871,2.0
23.886295223302145,-29.867049629249035,2.0
331.6219125631093,-29.612169870699933,2.0
5.89614896962404,-28.912617609055058,2.0
18.34876748267007,-32.12964060010438,2.0
29.619741930590024,-32.537010129920986,2.0
332.33501896121146,-26.72601582038612,2.0
8.836149070696484,-34.259892653128354,2.0
319.89148415634423,-33.530233828130754,2.0
316.3272487178955,-24.69943282216514,2.0
160.4699425419947,-20.472924667270128,2.0
157.46364486567506,-18.34956279905785,2.0
156.80001968091793,-33.23718440512215,2.0
164.7459588212315,-31.60947413507693,2.0
153.94018013422314,-35.54128591419091,2.0
164.0035621449678,-25.5649360740261,2.0
153.83684341889077,-28.590313568926405,2.0
156.77427199442948,-43.72812711312928,2.0
164.497701542229,-32.9825465802346,2.0
324.20730055187585,-1.481159088195661,2.0
38.09743982329523,-44.00090404039177,2.0
339.5968891921001,-0.9522680134427639,2.0
349.42752127421284,0.093129280239253,2.0
0.6279554824066291,0.8331230804411939,2.0
344.2395108573992,-0.4178591489560449,2.0
333.88574209843875,-28.301075647502866,2.0
33.9339774403445,-31.651234279166523,2.0
349.64482561551324,-31.254069336750398,2.0
332.493350687485,-27.44098095621957,2.0
314.9896989117314,-21.65968492556584,2.0
316.0495452877181,-28.12880490761528,2.0
154.59066905330377,-21.66882025656446,2.0
164.45805718459255,-21.949653145265444,2.0
178.75898669003433,-22.73940461818839,2.0
153.26230543451697,-5.501834858391281,2.0
170.13257866979768,-19.799145033212316,2.0
170.73371282684457,-24.477778759771486,2.0
178.29380263385738,-0.771060586248677,2.0
